SEP=,
1,INTEGRITY VERIFICATION:,7aaac7c476f420e4a65b78a6edf36f38
-
,MATCH OVERVIEW
,Match ID,Timestamp,Team 1,Team 2,Gamemode,Map,Winner,Team 1 Score,Team 2 Score,ATK at Start,Team 1 ATK Wins,Team 1 DEF Wins,Team 2 ATK Wins,Team 2 DEF Wins,Team 1 Score at Half,Team 2 Score at Half
1,themepark_1615678397892,March 13 2021 18:33,Blue,Orange,Custom Comp,Theme Park,Blue,8,6,Blue,4,4,3,3,3,3
-
,MATCH PERFORMANCE
,Match ID,Team,Player,Player Rating,ATK Rating,DEF Rating,K-D (+/-),Entry (+/-),Trade Diff.,KOST,KPR,SRV,HS%,ATK Op,DEF Op,Kills,Refrags,Headshots,Underdog Kills,1vX,Multikill Rounds,Deaths,Traded Deaths,Traded by Enemy,Opening Kills,Opening Deaths,Entry Kills,Entry Deaths,Planted Defuser,Disabled Defuser,Teamkills,Teamkilled,In-game Points,
1,themepark_1615678397892,Blue,ikoyo.FE,1.16,0.69,1.61,13-9 (+4),4-0 (+4),+4,0.57,0.93,0.36,62%,Kali,Mozzie,13,3,8,2,0,4,9,1,1,4,0,5,0,0,0,0,0,6035,
2,themepark_1615678397892,Blue,Mosmero.FE,0.96,1.47,0.47,9-9 (+0),1-3 (-2),+3,0.64,0.64,0.36,22%,Zofia,Jäger,9,1,2,3,0,3,9,3,0,1,3,1,4,0,0,0,0,6420,
3,themepark_1615678397892,Blue,P1E.FE,0.78,1.24,0.33,8-10 (-2),3-3 (+0),-2,0.43,0.57,0.29,63%,Ash,Bandit,8,0,5,1,0,3,10,1,1,3,3,3,6,0,0,0,0,6375,
4,themepark_1615678397892,Blue,Tomato.FE,1.56,1.09,2.02,17-6 (+11),0-0 (+0),+10,0.79,1.21,0.57,47%,Nomad,Castle,17,4,8,6,0,4,6,0,1,0,0,3,2,0,0,0,0,6900,
5,themepark_1615678397892,Blue,Soruze.FE,0.84,0.77,0.89,6-9 (-3),0-0 (+0),-3,0.64,0.43,0.36,67%,Thermite,Melusi,6,0,4,1,0,0,9,3,3,0,0,1,1,1,0,0,0,5373,
6,themepark_1615678397892,Orange,Cashy.,0.74,0.82,0.62,7-11 (-4),0-1 (-1),-4,0.43,0.50,0.21,43%,-,-,7,2,3,2,1,1,11,1,1,0,1,1,3,1,0,0,0,3280,
7,themepark_1615678397892,Orange,Aezxz.oS,0.98,1.03,0.91,8-9 (-1),1-1 (+0),-2,0.71,0.57,0.36,75%,-,-,8,2,6,5,1,0,9,0,1,1,1,5,1,0,0,0,0,2710,
8,themepark_1615678397892,Orange,Piggy.oS,0.82,0.75,0.89,8-10 (-2),3-3 (+0),-2,0.5,0.57,0.29,88%,-,-,8,1,7,2,0,1,10,1,1,3,3,3,3,0,0,0,0,3210,
9,themepark_1615678397892,Orange,RenCope.oS,0.98,0.83,1.12,9-11 (-2),0-2 (-2),-3,0.79,0.64,0.21,56%,-,-,9,1,5,5,0,1,11,2,3,0,2,1,3,1,0,0,0,3140,
10,themepark_1615678397892,Orange,Sokrr.oS,0.94,1.17,0.71,11-12 (-1),2-1 (+1),-1,0.57,0.79,0.14,27%,-,-,11,0,3,1,0,3,12,2,2,2,1,3,3,0,0,0,0,3730,
-
,SIXTH PICK OVERVIEW
,Match ID,Round,Team,Player,From,To,Winner,
1,themepark_1615678397892,1,Blue,ikoyo.FE,unknown,Iana,Orange,
2,themepark_1615678397892,4,Blue,ikoyo.FE,Kali,Sledge,Orange,
3,themepark_1615678397892,12,Blue,P1E.FE,unknown,Bandit,Orange,
4,themepark_1615678397892,14,Blue,Tomato.FE,unknown,Nomad,Blue,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
-,
,PLAYER ROUNDS DATA
,Match ID,Team,Player,Round,Map,Site,Side,Result,Round Time (ms),Victory Type,Operator,Time Spent Alive (ms),Kills,Refrags,Headshots,Underdog Kills,1vX,Death,Traded Death,Refragged By,Traded by Enemy,Opening Kill,Opening Death,Entry Kill,Entry Death,Planted Defuser,Disabled Defuser,Teamkills,Teamkilled,In-game Points,
1,themepark_1615678397892,Blue,ikoyo.FE,1,Theme Park,unknown,Attack,Loss,227096,Time Limit Reached,Kali,221055,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,40,
2,themepark_1615678397892,Blue,ikoyo.FE,2,Theme Park,unknown,Attack,Win,216662,Time Limit Reached,Kali,170078,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,210,
3,themepark_1615678397892,Blue,ikoyo.FE,3,Theme Park,unknown,Attack,Win,209483,Time Limit Reached,Kali,-,1,1,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,340,
4,themepark_1615678397892,Blue,ikoyo.FE,4,Theme Park,unknown,Attack,Loss,227314,Time Limit Reached,Sledge,181748,1,0,1,0,0,1,0,-,0,1,0,1,0,0,0,0,0,160,
5,themepark_1615678397892,Blue,ikoyo.FE,5,Theme Park,unknown,Attack,Loss,172653,Time Limit Reached,Sledge,149895,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,35,
6,themepark_1615678397892,Blue,ikoyo.FE,6,Theme Park,unknown,Attack,Win,208484,Defuser Planted,Iana,145943,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,195,
7,themepark_1615678397892,Blue,ikoyo.FE,7,Theme Park,unknown,Defence,Win,207190,Time Limit Reached,Mozzie,-,3,0,2,0,0,0,0,-,0,1,0,1,0,0,0,0,0,595,
8,themepark_1615678397892,Blue,ikoyo.FE,8,Theme Park,unknown,Defence,Win,141253,Time Limit Reached,Mozzie,-,2,1,2,0,0,0,0,-,0,1,0,1,0,0,0,0,0,460,
9,themepark_1615678397892,Blue,ikoyo.FE,9,Theme Park,unknown,Defence,Win,215531,Time Limit Reached,Mozzie,202935,1,0,1,0,0,1,0,-,1,0,0,0,0,0,0,0,0,330,
10,themepark_1615678397892,Blue,ikoyo.FE,10,Theme Park,unknown,Defence,Loss,123086,Time Limit Reached,Mozzie,105948,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,70,
11,themepark_1615678397892,Blue,ikoyo.FE,11,Theme Park,unknown,Defence,Loss,212193,Defuser Planted,Mozzie,232816,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,120,
12,themepark_1615678397892,Blue,ikoyo.FE,12,Theme Park,unknown,Defence,Loss,227487,Defuser Planted,Mozzie,226606,2,1,0,2,0,1,1,Tomato.FE,0,0,0,1,0,0,0,0,0,425,
13,themepark_1615678397892,Blue,ikoyo.FE,13,Theme Park,unknown,Defence,Win,207894,Time Limit Reached,Mozzie,-,2,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,460,
14,themepark_1615678397892,Blue,ikoyo.FE,14,Theme Park,unknown,Attack,Win,200535,Time Limit Reached,Iana,-,1,0,0,0,0,0,0,-,0,1,0,1,0,0,0,0,0,2595,
15,themepark_1615678397892,Blue,Tomato.FE,1,Theme Park,unknown,Attack,Loss,227096,Time Limit Reached,Nomad,-,1,0,1,1,0,0,0,-,0,0,0,1,0,0,0,0,0,220,
16,themepark_1615678397892,Blue,Tomato.FE,2,Theme Park,unknown,Attack,Win,216662,Time Limit Reached,Nomad,124400,0,0,0,0,0,1,0,-,0,0,0,0,1,0,0,0,0,190,
17,themepark_1615678397892,Blue,Tomato.FE,3,Theme Park,unknown,Attack,Win,209483,Time Limit Reached,Nomad,-,1,1,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,400,
18,themepark_1615678397892,Blue,Tomato.FE,4,Theme Park,unknown,Attack,Loss,227314,Time Limit Reached,Nomad,135482,0,0,0,0,0,1,0,-,0,0,0,0,1,0,0,0,0,95,
19,themepark_1615678397892,Blue,Tomato.FE,5,Theme Park,unknown,Attack,Loss,172653,Time Limit Reached,Nomad,172523,1,1,0,1,0,1,0,-,0,0,0,1,0,0,0,0,0,180,
20,themepark_1615678397892,Blue,Tomato.FE,6,Theme Park,unknown,Attack,Win,208484,Defuser Planted,Nomad,162364,1,0,1,0,0,1,0,-,0,0,0,0,0,0,0,0,0,315,
