SEP=,
1,INTEGRITY VERIFICATION:,75081a8513ce14fb6e1c24d662f171e2
-
,MATCH OVERVIEW
,Match ID,Timestamp,Team 1,Team 2,Gamemode,Map,Winner,Team 1 Score,Team 2 Score,ATK at Start,Team 1 ATK Wins,Team 1 DEF Wins,Team 2 ATK Wins,Team 2 DEF Wins,Team 1 Score at Half,Team 2 Score at Half
1,villa_1615848034932,March 15 2021 18:40,Blue,Orange,Custom Comp,Villa,Orange,3,7,Blue,2,1,3,4,2,4
-
,MATCH PERFORMANCE
,Match ID,Team,Player,Player Rating,ATK Rating,DEF Rating,K-D (+/-),Entry (+/-),Trade Diff.,KOST,KPR,SRV,HS%,ATK Op,DEF Op,Kills,Refrags,Headshots,Underdog Kills,1vX,Multikill Rounds,Deaths,Traded Deaths,Traded by Enemy,Opening Kills,Opening Deaths,Entry Kills,Entry Deaths,Planted Defuser,Disabled Defuser,Teamkills,Teamkilled,In-game Points,
1,villa_1615848034932,Blue,ikoyo.FE,1.06,1.03,1.10,9-8 (+1),0-1 (-1),-1,0.6,0.90,0.2,78%,Hibana,Mozzie,9,1,7,5,0,3,8,1,3,0,1,1,3,0,0,0,0,2773,
2,villa_1615848034932,Blue,Tomato.FE,0.53,0.76,0.33,3-9 (-6),2-2 (+0),-3,0.5,0.30,0.1,33%,Gridlock,Aruni,3,1,1,1,0,0,9,2,0,2,2,3,2,0,0,0,0,1965,
3,villa_1615848034932,Blue,P1E.FE,0.62,0.03,1.52,5-9 (-4),0-2 (-2),-4,0.4,0.50,0.1,100%,Ash,Bandit,5,1,5,4,0,1,9,1,1,0,2,1,3,0,0,0,0,2620,
4,villa_1615848034932,Blue,Soruze.FE,0.93,1.04,0.75,7-8 (-1),0-1 (-1),-1,0.6,0.70,0.2,14%,Thermite,Melusi,7,1,1,3,0,1,8,0,0,0,1,1,2,1,0,0,0,2540,
5,villa_1615848034932,Blue,Mosmero.FE,1.26,1.46,0.93,10-7 (+3),2-0 (+2),+2,0.7,1.00,0.3,70%,Zofia,Jäger,10,0,7,6,1,2,7,0,1,2,0,5,1,0,0,0,0,2905,
6,villa_1615848034932,Orange,Ashfault.ZF,0.96,1.60,0.51,8-8 (+0),1-1 (+0),-1,0.5,0.80,0.2,75%,-,-,8,2,6,1,0,4,8,0,1,1,1,2,3,1,0,0,0,5185,
7,villa_1615848034932,Orange,Roc.ZF,0.76,1.01,0.58,4-8 (-4),1-1 (+0),-2,0.7,0.40,0.2,50%,-,-,4,0,2,2,0,0,8,2,0,1,1,3,2,1,0,0,0,4717,
8,villa_1615848034932,Orange,Catto.ZF,0.74,0.28,0.92,3-6 (-3),0-1 (-1),-3,0.6,0.30,0.4,0%,-,-,3,0,0,0,0,1,6,1,0,0,1,0,1,1,0,0,0,4518,
9,villa_1615848034932,Orange,M1tch.ZF,1.23,0.66,1.59,11-8 (+3),2-1 (+1),+3,0.6,1.10,0.2,45%,-,-,11,0,5,2,1,4,8,1,1,2,1,3,4,0,0,0,0,5645,
10,villa_1615848034932,Orange,Woos.ZF,1.84,1.59,1.99,15-4 (+11),2-0 (+2),+10,0.9,1.50,0.6,40%,-,-,15,3,6,2,0,6,4,1,2,2,0,2,0,0,0,0,0,5520,
-
,SIXTH PICK OVERVIEW
,Match ID,Round,Team,Player,From,To,Winner,
1,villa_1615848034932,1,Blue,Tomato.FE,unknown,Gridlock,Orange,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
-,
,PLAYER ROUNDS DATA
,Match ID,Team,Player,Round,Map,Site,Side,Result,Round Time (ms),Victory Type,Operator,Time Spent Alive (ms),Kills,Refrags,Headshots,Underdog Kills,1vX,Death,Traded Death,Refragged By,Traded by Enemy,Opening Kill,Opening Death,Entry Kill,Entry Death,Planted Defuser,Disabled Defuser,Teamkills,Teamkilled,In-game Points,
1,villa_1615848034932,Blue,ikoyo.FE,1,Villa,unknown,Attack,Loss,217489,Time Limit Reached,Hibana,196472,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,66,
2,villa_1615848034932,Blue,ikoyo.FE,2,Villa,unknown,Attack,Loss,203816,Time Limit Reached,Hibana,197751,2,0,1,2,0,1,0,-,1,0,0,0,0,0,0,0,0,250,
3,villa_1615848034932,Blue,ikoyo.FE,3,Villa,unknown,Attack,Loss,223906,Time Limit Reached,Sledge,155655,0,0,0,0,0,1,1,Tomato.FE,0,0,0,0,0,0,0,0,0,120,
4,villa_1615848034932,Blue,ikoyo.FE,4,Villa,unknown,Attack,Win,228700,Time Limit Reached,Hibana,190302,0,0,0,0,0,1,0,-,0,0,0,0,1,0,0,0,0,142,
5,villa_1615848034932,Blue,ikoyo.FE,5,Villa,unknown,Attack,Loss,187478,Time Limit Reached,Hibana,187451,1,0,1,1,0,1,0,-,1,0,0,0,0,0,0,0,0,160,
6,villa_1615848034932,Blue,ikoyo.FE,6,Villa,unknown,Attack,Win,208599,Defuser Planted,Ash,-,2,0,2,0,0,0,0,-,0,0,0,0,0,0,0,0,0,530,
7,villa_1615848034932,Blue,ikoyo.FE,7,Villa,unknown,Defence,Win,217819,Time Limit Reached,Mozzie,-,3,0,2,1,0,0,0,-,0,0,0,1,0,0,0,0,0,540,
8,villa_1615848034932,Blue,ikoyo.FE,8,Villa,unknown,Defence,Loss,221400,Defuser Planted,Mozzie,86547,0,0,0,0,0,1,0,-,0,0,1,0,1,0,0,0,0,200,
9,villa_1615848034932,Blue,ikoyo.FE,9,Villa,unknown,Defence,Loss,227502,Defuser Planted,Mozzie,227640,1,1,1,1,0,1,0,-,1,0,0,0,0,0,0,0,0,385,
10,villa_1615848034932,Blue,ikoyo.FE,10,Villa,unknown,Defence,Loss,203862,Defuser Planted,Mozzie,186321,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,380,
11,villa_1615848034932,Orange,Catto.ZF,1,Villa,unknown,Attack,Win,217489,Time Limit Reached,-,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,174,
12,villa_1615848034932,Orange,Catto.ZF,2,Villa,unknown,Defence,Win,203816,Time Limit Reached,-,-,2,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,410,
13,villa_1615848034932,Orange,Catto.ZF,3,Villa,unknown,Defence,Win,223906,Time Limit Reached,-,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,325,
14,villa_1615848034932,Orange,Catto.ZF,4,Villa,unknown,Defence,Loss,228700,Time Limit Reached,-,195203,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,240,
15,villa_1615848034932,Orange,Catto.ZF,5,Villa,unknown,Defence,Win,187478,Time Limit Reached,-,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,340,
16,villa_1615848034932,Orange,Catto.ZF,6,Villa,unknown,Defence,Loss,208599,Defuser Planted,-,192687,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,100,
17,villa_1615848034932,Orange,Catto.ZF,7,Villa,unknown,Attack,Loss,217819,Time Limit Reached,-,217741,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,48,
18,villa_1615848034932,Orange,Catto.ZF,8,Villa,unknown,Attack,Win,221400,Defuser Planted,-,211759,0,0,0,0,0,1,1,Woos.ZF,0,0,0,0,0,0,0,0,0,249,
19,villa_1615848034932,Orange,Catto.ZF,9,Villa,unknown,Attack,Win,227502,Defuser Planted,-,234557,0,0,0,0,0,1,0,-,0,0,0,0,0,1,0,0,0,262,
20,villa_1615848034932,Orange,Catto.ZF,10,Villa,unknown,Attack,Win,203862,Defuser Planted,-,114989,0,0,0,0,0,1,0,-,0,0,1,0,1,0,0,0,0,2370,
